prompt,temp,seq_len,gen_time,timestamp,ED_mean,ED_std,model,model_size,domain,rank,chkpt_id
empty:   ,1.3,128,1773708443.3193018,2026-03-17T01:47:23.319305,0.4012710154056549,0.16125424206256866,mamba2-2.7b,2700000000,empty,0,0
neutral: Answer:,1.0,128,1773708449.3061783,2026-03-17T01:47:29.306180,0.7608352899551392,0.13137465715408325,mamba2-2.7b,2700000000,neutral,1,0
empty: 	,1.3,128,1773708455.312006,2026-03-17T01:47:35.312008,0.41476765275001526,0.15939129889011383,mamba2-2.7b,2700000000,empty,2,0
nonsense: tend cringdir plurtoksmas spa prengslelswul,0.7,128,1773708461.3084214,2026-03-17T01:47:41.308423,0.6941085457801819,0.18871356546878815,mamba2-2.7b,2700000000,nonsense,3,0
empty: ,0.7,128,1773708467.2873182,2026-03-17T01:47:47.287320,0.786457896232605,0.15214510262012482,mamba2-2.7b,2700000000,empty,4,0
nonsense: moondkoung smaind nousdront,0.7,128,1773708473.2723887,2026-03-17T01:47:53.272390,0.5180991888046265,0.16687974333763123,mamba2-2.7b,2700000000,nonsense,5,0
empty: ...,1.0,128,1773708479.2614334,2026-03-17T01:47:59.261435,0.7512985467910767,0.18122777342796326,mamba2-2.7b,2700000000,empty,6,0
neutral: This,0.7,128,1773708485.246603,2026-03-17T01:48:05.246605,0.7676457166671753,0.1570775955915451,mamba2-2.7b,2700000000,neutral,7,0
empty: _,1.3,128,1773708491.2346108,2026-03-17T01:48:11.234612,0.5322495698928833,0.18788933753967285,mamba2-2.7b,2700000000,empty,8,0
empty: 	,1.0,128,1773708497.21419,2026-03-17T01:48:17.214193,0.8732689619064331,0.15555253624916077,mamba2-2.7b,2700000000,empty,9,0
nonsense: skienspesgind grokmet miengprel,1.0,128,1773708503.1933928,2026-03-17T01:48:23.193394,0.3882899880409241,0.12467604875564575,mamba2-2.7b,2700000000,nonsense,10,0
neutral: Generate:,1.3,128,1773708509.1723657,2026-03-17T01:48:29.172368,0.5154744386672974,0.23042894899845123,mamba2-2.7b,2700000000,neutral,11,0
